iter	Passed	Remaining
0	0	828
1	1	727
2	2	723
3	2	678
4	3	655
5	3	643
6	4	640
7	5	635
8	5	636
9	6	636
10	7	638
11	7	644
12	8	642
13	9	643
14	9	643
15	10	641
16	11	642
17	11	644
18	12	645
19	13	646
20	13	646
21	14	649
22	15	649
23	15	649
24	16	652
25	17	653
26	18	654
27	18	654
28	19	654
29	20	654
30	21	657
31	21	660
32	22	660
33	23	660
34	23	660
35	24	659
36	25	659
37	26	659
38	26	659
39	27	658
40	28	658
41	28	658
42	29	657
43	30	658
44	31	658
45	31	658
46	32	659
47	33	658
48	33	658
49	34	658
50	35	658
51	36	658
52	36	658
53	37	657
54	38	657
55	39	657
56	39	657
57	40	657
58	41	657
59	41	657
60	42	656
61	43	655
62	44	654
63	44	654
64	45	653
65	46	653
66	46	652
67	47	651
68	48	651
69	48	650
70	49	649
71	50	649
72	51	648
73	51	648
74	52	647
75	53	647
76	53	647
77	54	646
78	55	646
79	56	645
80	56	645
81	57	644
82	58	644
83	59	643
84	59	643
85	60	642
86	61	642
87	61	641
88	62	641
89	63	640
90	64	639
91	64	639
92	65	638
93	66	637
94	66	637
95	67	637
96	68	636
97	69	635
98	69	635
99	70	634
100	71	633
101	71	633
102	72	632
103	73	631
104	74	631
105	74	630
106	75	629
107	76	629
108	76	628
109	77	627
110	78	627
111	79	626
112	79	626
113	80	626
114	81	625
115	82	625
116	82	624
117	83	623
118	84	623
119	84	622
120	85	621
121	86	621
122	87	620
123	87	619
124	88	619
125	89	618
126	89	617
127	90	617
128	91	616
129	92	617
130	92	616
131	93	615
132	94	614
133	94	613
134	95	613
135	96	612
136	97	611
137	97	610
138	98	610
139	99	609
140	100	609
141	100	608
142	101	607
143	102	606
144	102	605
145	103	605
146	104	604
147	104	603
148	105	603
149	106	602
150	107	601
151	107	601
152	108	600
153	109	599
154	109	598
155	110	598
156	111	597
157	111	596
158	112	595
159	113	595
160	114	594
161	114	593
162	115	593
163	116	592
164	116	591
165	117	591
166	118	590
167	119	590
168	119	589
169	120	588
170	121	588
171	121	587
172	122	586
173	123	585
174	124	585
175	124	584
176	125	583
177	126	583
178	126	582
179	127	581
180	128	580
181	129	580
182	129	579
183	130	578
184	131	577
185	131	577
186	132	576
187	133	575
188	133	574
189	134	574
190	135	573
191	136	572
192	136	571
193	137	571
194	138	570
195	138	569
196	139	569
197	140	568
198	140	567
199	141	566
200	142	565
201	143	565
202	143	564
203	144	563
204	145	562
205	145	562
206	146	561
207	147	560
208	147	559
209	148	559
210	149	558
211	150	557
212	150	557
213	151	556
214	152	555
215	152	554
216	153	554
217	154	553
218	154	552
219	155	551
220	156	550
221	157	550
222	157	549
223	158	549
224	159	548
225	159	547
226	160	547
227	161	546
228	162	545
229	162	545
230	163	544
231	164	543
232	164	542
233	165	542
234	166	541
235	167	540
236	167	540
237	168	539
238	169	538
239	169	538
240	170	537
241	171	536
242	172	536
243	172	534
244	173	534
245	174	533
246	174	532
247	175	532
248	176	531
249	176	530
250	177	530
251	178	529
252	179	528
253	179	528
254	180	527
255	181	527
256	182	526
257	182	525
258	183	525
259	184	524
260	184	523
261	185	522
262	186	522
263	187	521
264	187	521
265	188	520
266	189	519
267	189	518
268	190	518
269	191	517
270	192	516
271	192	516
272	193	515
273	194	514
274	195	514
275	195	513
276	196	512
277	197	512
278	197	511
279	198	510
280	199	510
281	200	509
282	200	508
283	201	507
284	202	507
285	202	506
286	203	505
287	204	505
288	205	504
289	205	503
290	206	503
291	207	502
292	207	501
293	208	500
294	209	500
295	210	499
296	210	498
297	211	497
298	212	497
299	212	496
300	213	495
301	214	494
302	214	494
303	215	493
304	216	492
305	216	492
306	217	491
307	218	490
308	219	489
309	219	489
310	220	488
311	221	487
312	221	487
313	222	486
314	223	485
315	224	485
316	224	484
317	225	483
318	226	483
319	227	482
320	227	481
321	228	480
322	229	480
323	229	479
324	230	478
325	231	478
326	231	477
327	232	476
328	233	475
329	233	474
330	234	474
331	235	473
332	236	472
333	237	473
334	238	472
335	238	471
336	239	471
337	240	470
338	240	469
339	241	469
340	242	468
341	243	467
342	243	466
343	244	466
344	245	465
345	245	464
346	246	464
347	247	463
348	248	463
349	248	462
350	249	461
351	250	460
352	251	460
353	251	459
354	252	458
355	253	457
356	253	457
357	254	456
358	255	455
359	255	454
360	256	454
361	257	453
362	257	452
363	258	452
364	259	451
365	260	450
366	260	449
367	261	449
368	262	448
369	262	447
370	263	446
371	264	446
372	265	445
373	265	444
374	266	444
375	267	443
376	267	442
377	268	441
378	269	441
379	269	440
380	270	439
381	271	438
382	272	438
383	272	437
384	273	436
385	274	436
386	274	435
387	275	434
388	276	434
389	277	433
390	277	432
391	278	431
392	279	431
393	279	430
394	280	429
395	281	429
396	281	428
397	282	427
398	283	426
399	284	426
400	284	425
401	285	424
402	286	424
403	287	423
404	287	422
405	288	422
406	289	421
407	289	420
408	290	419
409	291	419
410	292	418
411	292	417
412	293	417
413	294	416
414	295	416
415	295	415
416	296	414
417	297	414
418	298	413
419	298	412
420	299	411
421	300	411
422	300	410
423	301	409
424	302	408
425	302	408
426	303	407
427	304	406
428	305	406
429	305	405
430	306	404
431	307	404
432	308	403
433	308	402
434	309	401
435	310	401
436	310	400
437	311	399
438	312	399
439	312	398
440	313	397
441	314	396
442	315	396
443	315	395
444	316	394
445	317	393
446	317	393
447	318	392
448	319	391
449	320	391
450	320	390
451	321	389
452	322	389
453	322	388
454	323	387
455	324	386
456	325	386
457	325	385
458	326	384
459	327	384
460	328	383
461	328	382
462	329	382
463	330	381
464	330	380
465	331	379
466	332	379
467	332	378
468	333	377
469	334	376
470	335	376
471	335	375
472	336	374
473	337	374
474	337	373
475	338	372
476	339	372
477	340	371
478	340	370
479	341	369
480	342	369
481	342	368
482	343	367
483	344	366
484	345	366
485	345	365
486	346	364
487	347	364
488	347	363
489	348	362
490	349	361
491	349	361
492	350	360
493	351	359
494	352	359
495	352	358
496	353	357
497	354	357
498	354	356
499	355	355
500	356	354
501	357	354
502	357	353
503	358	352
504	359	352
505	359	351
506	360	350
507	361	349
508	361	349
509	362	348
510	363	347
511	363	346
512	364	346
513	365	345
514	366	344
515	366	343
516	367	343
517	368	342
518	368	341
519	369	341
520	370	340
521	370	339
522	371	338
523	372	338
524	373	337
525	373	336
526	374	336
527	375	335
528	375	334
529	376	334
530	377	333
531	378	332
532	378	331
533	379	331
534	380	330
535	380	329
536	381	329
537	382	328
538	382	327
539	383	326
540	384	326
541	385	325
542	385	324
543	386	323
544	387	323
545	387	322
546	388	321
547	389	321
548	389	320
549	390	319
550	391	318
551	392	318
552	392	317
553	393	316
554	394	316
555	394	315
556	395	314
557	396	313
558	397	313
559	397	312
560	398	311
561	399	311
562	399	310
563	400	309
564	401	308
565	401	308
566	402	307
567	403	306
568	404	306
569	404	305
570	405	304
571	406	303
572	406	303
573	407	302
574	408	301
575	408	301
576	409	300
577	410	299
578	411	298
579	411	298
580	412	297
581	413	296
582	413	295
583	414	295
584	415	294
585	415	293
586	416	293
587	417	292
588	418	291
589	418	291
590	419	290
591	420	289
592	421	288
593	421	288
594	422	287
595	423	286
596	423	286
597	424	285
598	425	284
599	426	284
600	426	283
601	427	282
602	428	281
603	428	281
604	429	280
605	430	279
606	431	279
607	431	278
608	432	277
609	433	277
610	434	276
611	434	275
612	435	275
613	436	274
614	437	273
615	437	272
616	438	272
617	439	271
618	439	270
619	440	270
620	441	269
621	442	268
622	442	267
623	443	267
624	444	266
625	444	265
626	445	265
627	446	264
628	447	263
629	448	263
630	448	262
631	449	261
632	450	261
633	451	260
634	451	259
635	452	259
636	453	258
637	454	257
638	454	256
639	455	256
640	456	255
641	456	254
642	457	254
643	458	253
644	459	252
645	459	251
646	460	251
647	461	250
648	462	249
649	462	249
650	463	248
651	464	247
652	464	247
653	465	246
654	466	245
655	467	244
656	467	244
657	468	243
658	469	242
659	469	242
660	470	241
661	471	240
662	472	240
663	472	239
664	473	238
665	474	237
666	474	237
667	475	236
668	476	235
669	477	234
670	477	234
671	478	233
672	479	232
673	479	232
674	480	231
675	481	230
676	482	230
677	482	229
678	483	228
679	484	227
680	485	227
681	485	226
682	486	225
683	487	225
684	487	224
685	488	223
686	489	222
687	490	222
688	490	221
689	491	220
690	492	220
691	492	219
692	493	218
693	494	218
694	495	217
695	495	216
696	496	215
697	497	215
698	498	214
699	498	213
700	499	213
701	500	212
702	501	211
703	501	211
704	502	210
705	503	209
706	504	208
707	504	208
708	505	207
709	506	206
710	506	206
711	507	205
712	508	204
713	509	203
714	509	203
715	510	202
716	511	201
717	511	201
718	512	200
719	513	199
720	514	198
721	514	198
722	515	197
723	516	196
724	516	196
725	517	195
726	518	194
727	519	193
728	519	193
729	520	192
730	521	191
731	521	191
732	522	190
733	523	189
734	524	188
735	524	188
736	525	187
737	526	186
738	526	186
739	527	185
740	528	184
741	529	183
742	529	183
743	530	182
744	531	181
745	532	181
746	532	180
747	533	179
748	534	178
749	534	178
750	535	177
751	536	176
752	536	176
753	537	175
754	538	174
755	539	174
756	539	173
757	540	172
758	541	171
759	542	171
760	542	170
761	543	169
762	544	169
763	545	168
764	546	167
765	547	167
766	547	166
767	548	165
768	549	164
769	549	164
770	550	163
771	551	162
772	552	162
773	552	161
774	553	160
775	554	160
776	555	159
777	555	158
778	556	157
779	557	157
780	557	156
781	558	155
782	559	155
783	560	154
784	560	153
785	561	152
786	562	152
787	563	151
788	563	150
789	564	150
790	565	149
791	565	148
792	566	147
793	567	147
794	568	146
795	568	145
796	569	145
797	570	144
798	570	143
799	571	142
800	572	142
801	573	141
802	573	140
803	574	140
804	575	139
805	576	138
806	576	137
807	577	137
808	578	136
809	578	135
810	579	135
811	580	134
812	581	133
813	581	132
814	582	132
815	583	131
816	583	130
817	584	130
818	585	129
819	586	128
820	586	127
821	587	127
822	588	126
823	588	125
824	589	125
825	590	124
826	591	123
827	591	122
828	592	122
829	593	121
830	594	120
831	594	120
832	595	119
833	596	118
834	597	117
835	597	117
836	598	116
837	599	115
838	599	115
839	600	114
840	601	113
841	602	112
842	602	112
843	603	111
844	604	110
845	604	110
846	605	109
847	606	108
848	606	107
849	607	107
850	608	106
851	608	105
852	609	105
853	610	104
854	610	103
855	611	102
856	612	102
857	613	101
858	613	100
859	614	100
860	615	99
861	615	98
862	616	97
863	617	97
864	617	96
865	618	95
866	619	95
867	620	94
868	620	93
869	621	92
870	622	92
871	622	91
872	623	90
873	624	90
874	625	89
875	625	88
876	626	87
877	627	87
878	627	86
879	628	85
880	629	84
881	629	84
882	630	83
883	631	82
884	632	82
885	632	81
886	633	80
887	634	79
888	634	79
889	635	78
890	636	77
891	636	77
892	637	76
893	638	75
894	638	74
895	639	74
896	640	73
897	640	72
898	641	72
899	642	71
900	643	70
901	643	69
902	644	69
903	645	68
904	645	67
905	646	67
906	647	66
907	648	65
908	648	64
909	649	64
910	650	63
911	650	62
912	651	62
